id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
27457,63,364,711,2H,2152.129934,Pass,Simple pass,,25,82,7.0,55.0,t
27461,81,364,1433,2H,2163.775293,Duel,Ground defending duel,neutral,47,78,62.0,79.0,t
27466,81,364,1732,2H,2171.610213,Pass,Simple pass,,64,64,86.0,75.0,t
27476,63,364,1586,2H,2202.002866,Pass,Head pass,,32,75,40.0,76.0,t
27485,63,364,36,2H,2223.3624470000004,Free Kick,Throw in,,53,0,35.0,34.0,t
27489,63,364,1690,2H,2235.542241,Pass,Simple pass,,63,6,39.0,24.0,t
27493,63,364,1584,2H,2248.643438,Pass,Simple pass,,31,18,34.0,30.0,t
27498,81,364,826,2H,2256.1464800000003,Pass,Simple pass,counter_attack,46,86,35.0,83.0,t
27503,63,364,711,2H,2278.673518,Pass,Simple pass,,27,75,26.0,21.0,t
27507,63,364,711,2H,2291.7381590000005,Pass,Simple pass,,51,54,64.0,87.0,t
27516,63,364,1586,2H,2340.806775,Pass,Simple pass,,22,90,8.0,48.0,t
27522,63,364,1690,2H,2355.946363,Duel,Ground attacking duel,neutral,68,14,65.0,19.0,t
27532,63,364,1586,2H,2428.2091950000004,Free Kick,Throw in,,82,100,86.0,82.0,t
27539,63,364,1581,2H,2474.2637830000003,Pass,Simple pass,,50,76,42.0,33.0,t
27543,63,364,1690,2H,2482.4011,Duel,Ground attacking duel,neutral,74,5,92.0,76.0,t
27547,81,364,1433,2H,2490.2874760000004,Pass,High pass,,31,75,48.0,86.0,t
27551,81,364,178,2H,2498.4030540000003,Pass,Simple pass,,86,83,86.0,62.0,t
27556,63,364,1292,2H,2571.58188,Pass,Simple pass,,31,43,37.0,6.0,t
27562,81,364,1631,2H,2585.085527,Pass,Simple pass,,29,93,5.0,59.0,t
27574,81,364,1631,2H,2646.311537,Free Kick,Throw in,,72,100,76.0,89.0,t
27581,63,364,36,2H,2693.429528,Duel,Ground defending duel,neutral,21,7,22.0,0.0,t
27588,63,364,1584,2H,2716.263846,Pass,High pass,interception,32,19,65.0,13.0,t
27595,81,364,1631,2H,2733.075454,Duel,Ground attacking duel,won,6,25,29.0,97.0,t
27602,63,364,1292,2H,2757.7667060000003,Pass,Simple pass,,45,38,46.0,16.0,t
27610,81,364,1433,2H,2780.023284,Pass,Simple pass,,10,95,21.0,95.0,t
27617,63,364,711,2H,2803.571926,Pass,Simple pass,,43,54,35.0,87.0,t
27623,81,364,826,2H,2812.9186360000003,Duel,Ground defending duel,won,46,33,61.0,52.0,t
27630,63,364,1292,2H,2827.9700380000004,Pass,Simple pass,,34,10,63.0,7.0,t
27634,63,364,51,2H,2844.475243,Pass,Simple pass,,68,81,57.0,67.0,t
27638,63,364,711,2H,2854.8923720000003,Pass,High pass,,64,62,78.0,3.0,t
27645,63,364,1584,2H,2869.826319,Pass,Simple pass,,54,48,52.0,56.0,t
26012,81,364,1630,1H,280.80577400000004,Others on the ball,Touch,Feint,46,45,62.0,17.0,
27007,81,364,1975,2H,513.657393,Foul,Late card foul,yellow_card,29,56,0.0,0.0,
27600,63,364,51,2H,2740.672603,Foul,Foul,yellow_card,54,51,61.0,44.0,
27390,63,364,1690,2H,1872.045357,Foul,Foul,yellow_card,32,84,32.0,80.0,
26008,63,364,1470,1H,269.707733,Others on the ball,Touch,interception,66,81,73.0,88.0,
26131,81,364,1630,1H,645.495383,Others on the ball,Touch,interception,49,11,49.0,17.0,
26247,81,364,107,1H,1082.005967,Others on the ball,Touch,interception,14,35,10.0,48.0,
26375,81,364,107,1H,1473.40133,Others on the ball,Touch,interception,14,67,0.0,56.0,
26654,81,364,1631,1H,2341.65609,Others on the ball,Touch,interception,3,59,10.0,63.0,
